x,poly4
-0.1630073285863296,109.56934369137021
-0.16216065787008432,111.00648294743286
-0.1613139871538391,112.441355370367
-0.16046731643759382,113.8738798450831
-0.15962064572134854,115.30397568249762
-0.15877397500510332,116.73156261953366
-0.15792730428885804,118.1565608191208
-0.15708063357261276,119.57889087019481
-0.15623396285636748,120.99847378769799
-0.15538729214012226,122.41523101257874
-0.15454062142387698,123.82908441179252
-0.1536939507076317,125.23995627830054
-0.15284727999138642,126.64776933107056
-0.1520006092751412,128.05244671507697
-0.15115393855889592,129.4539120013003
-0.15030726784265064,130.85208918672765
-0.14946059712640536,132.24690269435243
-0.14861392641016014,133.6382773731743
-0.14776725569391486,135.02613849819966
-0.14692058497766958,136.4104117704411
-0.14607391426142435,137.79102331691752
-0.14522724354517907,139.16789969065437
-0.1443805728289338,140.54096787068352
-0.14353390211268852,141.9101552620431
-0.1426872313964433,143.2753896957775
-0.141840560680198,144.63659942893813
-0.14099388996395273,145.99371314458205
-0.14014721924770746,147.34665995177318
-0.13930054853146223,148.69536938558156
-0.13845387781521695,150.03977140708383
-0.13760720709897167,151.37979640336303
-0.13676053638272645,152.71537518750836
-0.13591386566648117,154.0464389986157
-0.1350671949502359,155.37291950178724
-0.1342205242339906,156.69474878813145
-0.1333738535177454,158.01185937476313
-0.1325271828015001,159.3241842048039
-0.13168051208525483,160.63165664738142
-0.13083384136900955,161.93421049762966
-0.12998717065276433,163.2317799766892
-0.12914049993651905,164.52429973170717
-0.12829382922027377,165.81170483583665
-0.1274471585040285,167.09393078823754
-0.12660048778778327,168.3709135140757
-0.125753817071538,169.64258936452396
-0.12490714635529271,170.90889511676102
-0.12406047563904748,172.1697679739721
-0.1232138049228022,173.42514556534917
-0.12236713420655693,174.6749659460902
-0.12152046349031165,175.91916759739954
-0.12067379277406642,177.15768942648822
-0.11982712205782114,178.39047076657354
-0.11898045134157587,179.6174513768791
-0.11813378062533059,180.83857144263501
-0.11728710990908536,182.05377157507763
-0.11644043919284008,183.26299281144998
-0.1155937684765948,184.46617661500133
-0.11474709776034958,185.66326487498716
-0.1139004270441043,186.85419990666966
-0.11305375632785902,188.03892445131734
-0.11220708561161374,189.2173816762049
-0.11136041489536852,190.38951517461356
-0.11051374417912324,191.55526896583115
-0.10966707346287796,192.71458749515153
-0.10882040274663268,193.8674156338752
-0.10797373203038746,195.01369867930893
-0.10712706131414218,196.153382354766
-0.1062803905978969,197.28641280956603
-0.10543371988165168,198.41273661903497
-0.1045870491654064,199.5323007845053
-0.10374037844916112,200.64505273331582
-0.10289370773291584,201.75094031881173
-0.10204703701667062,202.84991182034446
-0.10120036630042534,203.94191594327228
-0.10035369558418006,205.02690181895943
-0.09950702486793478,206.1048190047767
-0.09866035415168956,207.17561748410122
-0.09781368343544428,208.23924766631674
-0.096967012719199,209.29566038681304
-0.09612034200295372,210.34480690698663
-0.0952736712867085,211.38663891424008
-0.09442700057046322,212.42110852198283
-0.09358032985421794,213.44816826963032
-0.09273365913797271,214.46777112260432
-0.09188698842172743,215.4798704723335
-0.09104031770548215,216.48442013625242
-0.09019364698923688,217.4813743578022
-0.08934697627299165,218.4706878064304
-0.08850030555674637,219.45231557759104
-0.0876536348405011,220.4262131927443
-0.08680696412425581,221.39233659935712
-0.08596029340801059,222.3506421709024
-0.08511362269176531,223.30108670685976
-0.08426695197552003,224.24362743271513
-0.08342028125927481,225.17822199996078
-0.08257361054302953,226.1048284860954
-0.08172693982678425,227.0234053946242
-0.08088026911053897,227.93391165505855
-0.08003359839429375,228.8363066229164
-0.07918692767804847,229.73055007972204
-0.07834025696180319,230.61660223300612
-0.07749358624555791,231.49442371630585
-0.07664691552931269,232.36397558916448
-0.07580024481306741,233.22521933713205
-0.07495357409682213,234.07811687176485
-0.07410690338057685,234.9226305306255
-0.07326023266433163,235.7587230772829
-0.07241356194808635,236.5863577013128
-0.07156689123184107,237.4054980182969
-0.07072022051559584,238.21610806982338
-0.06987354979935056,239.01815232348704
-0.06902687908310529,239.8115956728889
-0.06818020836686,240.59640343763627
-0.06733353765061478,241.37254136334303
-0.0664868669343695,242.13997562162945
-0.06564019621812422,242.89867281012224
-0.06479352550187895,243.64859995245433
-0.06394685478563372,244.38972449826502
-0.06310018406938844,245.12201432320035
-0.062253513353143164,245.8454377289124
-0.06140684263689794,246.5599634430597
-0.06056017192065266,247.26556061930748
-0.05971350120440738,247.962198837327
-0.0588668304881621,248.64984810279606
-0.05802015977191688,249.32847884739883
-0.0571734890556716,249.99806192882593
-0.05632681833942632,250.65856863077428
-0.05548014762318104,251.30997066294742
-0.05463347690693582,251.95224016105496
-0.05378680619069054,252.5853496868131
-0.05294013547444526,253.20927222794452
-0.05209346475819998,253.82398119817805
-0.05124679404195476,254.42945043724905
-0.05040012332570948,255.02565421089935
-0.0495534526094642,255.61256721087705
-0.048706781893218976,256.19016455493676
-0.047860111176973696,256.7584217868394
-0.04701344046072842,257.3173148763522
-0.04616676974448314,257.86682021924906
-0.045320099028237915,258.40691463731
-0.044473428311992635,258.9375753783216
-0.043626757595747356,259.4587801160768
-0.04278008687950208,259.9705069503748
-0.041933416163256854,260.4727344070214
-0.041086745447011574,260.96544143782876
-0.040240074730766295,261.4486074206153
-0.03939340401452107,261.92221215920597
-0.03854673329827579,262.3862358834321
-0.037700062582030514,262.8406592491313
-0.036853391865785234,263.28546333814774
-0.03600672114954001,263.72062965833175
-0.03516005043329473,264.1461401435404
-0.03431337971704945,264.561977153637
-0.03346670900080417,264.968123474491
-0.03262003828455895,265.36456231797865
-0.03177336756831367,265.75127732198234
-0.03092669685206839,266.128252550391
-0.030080026135823112,266.4954724930998
-0.02923335541957789,266.8529220660104
-0.02838668470333261,267.20058661103104
-0.02754001398708733,267.5384518960759
-0.026693343270842107,267.86650411506594
-0.025846672554596828,268.18472988792854
-0.02500000183835155,268.493116260597
-0.02415333112210627,268.7916507050117
-0.023306660405861046,269.0803211191188
-0.022459989689615767,269.35911582687135
-0.021613318973370488,269.6280235782284
-0.02076664825712521,269.8870335491556
-0.019919977540879985,270.1361353416251
-0.019073306824634706,270.3753189836151
